GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
holiday-reminder,com.thecodest.slack.holidayreminder.calamari,CalamariModule,0,32,0,0,0,9,0,5,0,5
holiday-reminder,com.thecodest.slack.holidayreminder.calamari,SimpleCalamariApi,0,107,0,2,0,25,0,8,0,7
holiday-reminder,com.thecodest.slack.holidayreminder.calamari,CalamariEmployee,0,21,0,0,0,1,0,4,0,4
holiday-reminder,com.thecodest.slack.holidayreminder,EmailNormalization.NormalizedEmail,38,33,6,0,8,1,6,6,3,6
holiday-reminder,com.thecodest.slack.holidayreminder,Message,0,23,0,0,0,4,0,2,0,2
holiday-reminder,com.thecodest.slack.holidayreminder,RunningCalculator,0,129,1,43,0,19,1,31,0,10
holiday-reminder,com.thecodest.slack.holidayreminder,App,3,36,0,0,1,4,1,1,1,1
holiday-reminder,com.thecodest.slack.holidayreminder,Coder,0,15,0,0,0,1,0,3,0,3
holiday-reminder,com.thecodest.slack.holidayreminder,MasterModule,0,18,0,0,0,6,0,2,0,2
holiday-reminder,com.thecodest.slack.holidayreminder,Configuration,3,6,0,0,1,3,1,1,1,1
holiday-reminder,com.thecodest.slack.holidayreminder,EmailNormalization,3,85,0,8,1,14,1,6,1,2
holiday-reminder,com.thecodest.slack.holidayreminder,VacationReminder,3,89,1,3,2,18,1,8,0,7
holiday-reminder,com.thecodest.slack.holidayreminder.auth,AuthViaEnvModule,0,31,0,0,0,11,0,2,0,2
holiday-reminder,com.thecodest.slack.holidayreminder.slack,SlackModule,0,10,0,0,0,3,0,2,0,2
holiday-reminder,com.thecodest.slack.holidayreminder.slack,SimpleSlackClient,74,8,2,0,13,3,9,1,8,1
holiday-reminder,com.thecodest.slack.holidayreminder.slack,SlackUser,11,26,0,0,0,5,3,3,3,3
